backbone,dataset,horizon,Baseline,TAFAS,PETSA,COSA-F,COSA-P,STEPS
iTransformer,ETTh1,96,0.4507,0.4411,0.4393,0.4368,0.4363,0.3928
PatchTST,ETTh1,96,0.4312,0.4262,0.4269,0.4242,0.4238,0.3812
iTransformer,ETTh1,192,0.5078,0.4928,0.4949,0.4961,0.4919,0.4487
PatchTST,ETTh1,192,0.4955,0.4865,0.4854,0.483,0.4805,0.4358
iTransformer,ETTh1,336,0.5658,0.5629,0.564,0.5651,0.53,0.4955
PatchTST,ETTh1,336,0.5559,0.5478,0.5475,0.5438,0.532,0.4848
iTransformer,ETTh1,720,0.7038,0.6612,0.6596,0.5958,0.5638,0.5836
PatchTST,ETTh1,720,0.7117,0.686,0.6822,0.6113,0.5822,0.581
iTransformer,ETTh2,96,0.2577,0.2549,0.2551,0.2504,0.2493,0.1978
PatchTST,ETTh2,96,0.2362,0.2351,0.2362,0.2349,0.2343,0.1933
iTransformer,ETTh2,192,0.3161,0.301,0.3006,0.2983,0.2947,0.2368
PatchTST,ETTh2,192,0.2826,0.2758,0.2773,0.2665,0.2608,0.2236
iTransformer,ETTh2,336,0.3545,0.3352,0.3348,0.3241,0.3339,0.273
PatchTST,ETTh2,336,0.3199,0.3125,0.3132,0.2971,0.2978,0.2501
iTransformer,ETTh2,720,0.4276,0.4023,0.4043,0.3487,0.3591,0.3119
PatchTST,ETTh2,720,0.4264,0.4005,0.4012,0.3233,0.3428,0.3005
iTransformer,ETTm1,96,0.3823,0.3558,0.357,0.3447,0.3455,0.3384
PatchTST,ETTm1,96,0.4024,0.3894,0.3937,0.3625,0.3626,0.3498
iTransformer,ETTm1,192,0.4423,0.4146,0.4142,0.4124,0.414,0.3615
PatchTST,ETTm1,192,0.4512,0.4372,0.4413,0.425,0.4258,0.367
iTransformer,ETTm1,336,0.5093,0.4754,0.4751,0.4569,0.4643,0.4187
PatchTST,ETTm1,336,0.5081,0.4905,0.4946,0.4568,0.4697,0.413
iTransformer,ETTm1,720,0.6065,0.5562,0.5553,0.4773,0.5102,0.4873
PatchTST,ETTm1,720,0.5629,0.5427,0.5462,0.4681,0.4882,0.4712
iTransformer,ETTm2,96,0.1647,0.1634,0.1637,0.1627,0.1632,0.1342
PatchTST,ETTm2,96,0.1584,0.1581,0.1583,0.1558,0.1562,0.1299
iTransformer,ETTm2,192,0.2209,0.2183,0.2173,0.2171,0.2173,0.1663
PatchTST,ETTm2,192,0.2059,0.2036,0.2037,0.2007,0.2022,0.1583
iTransformer,ETTm2,336,0.2727,0.263,0.2592,0.2435,0.2535,0.2041
PatchTST,ETTm2,336,0.2458,0.2451,0.2452,0.2258,0.2352,0.1897
iTransformer,ETTm2,720,0.3451,0.3305,0.3332,0.2477,0.2606,0.2466
PatchTST,ETTm2,720,0.3268,0.3268,0.3256,0.2446,0.2645,0.2434
iTransformer,Exchange,96,0.0882,0.0876,0.0885,0.0818,0.0837,0.0471
PatchTST,Exchange,96,0.0867,0.0843,0.0837,0.0765,0.0788,0.0429
iTransformer,Exchange,192,0.1811,0.1686,0.174,0.1403,0.1479,0.089
PatchTST,Exchange,192,0.1877,0.1805,0.1832,0.1464,0.157,0.0858
iTransformer,Exchange,336,0.3428,0.3079,0.3097,0.2089,0.2624,0.1608
PatchTST,Exchange,336,0.3389,0.3275,0.33,0.1983,0.2445,0.1517
iTransformer,Exchange,720,0.854,0.8322,0.8004,0.3421,0.446,0.4116
PatchTST,Exchange,720,0.8648,0.8659,0.8643,0.3543,0.4662,0.4372
iTransformer,Weather,96,0.1755,0.1664,0.1674,0.1597,0.1617,0.1355
PatchTST,Weather,96,0.1742,0.1724,0.1743,0.1624,0.1634,0.1523
iTransformer,Weather,192,0.2232,0.2101,0.2128,0.2067,0.2088,0.1746
PatchTST,Weather,192,0.2195,0.2147,0.2167,0.2006,0.2108,0.1907
iTransformer,Weather,336,0.28,0.2614,0.2665,0.2503,0.2515,0.2098
PatchTST,Weather,336,0.2766,0.2666,0.2701,0.2451,0.2488,0.2212
iTransformer,Weather,720,0.3571,0.3458,0.3459,0.248,0.273,0.2734
PatchTST,Weather,720,0.3544,0.3383,0.3442,0.259,0.2713,0.2862
DLinear,ETTh1,96,0.4695,0.4618,0.4594,0.4574,0.4482,0.4054
OLS,ETTh1,96,0.4511,0.4409,0.4391,0.439,0.4372,0.3902
DLinear,ETTh1,192,0.5213,0.5117,0.5118,0.5066,0.505,0.4588
OLS,ETTh1,192,0.5046,0.4934,0.4937,0.4915,0.4906,0.4432
DLinear,ETTh1,336,0.5659,0.5604,0.5617,0.5528,0.5456,0.4991
OLS,ETTh1,336,0.551,0.544,0.5465,0.5385,0.532,0.4843
DLinear,ETTh1,720,0.7117,0.682,0.6743,0.6107,0.5896,0.5812
OLS,ETTh1,720,0.6997,0.663,0.6431,0.5969,0.5733,0.5688
DLinear,ETTh2,96,0.2323,0.2303,0.2306,0.23,0.2281,0.1845
OLS,ETTh2,96,0.2306,0.2285,0.2288,0.2232,0.2265,0.1836
DLinear,ETTh2,192,0.2862,0.2842,0.2876,0.2827,0.2819,0.2225
OLS,ETTh2,192,0.2839,0.2824,0.2848,0.2796,0.2791,0.2207
DLinear,ETTh2,336,0.3252,0.3185,0.3184,0.305,0.3083,0.2554
OLS,ETTh2,336,0.3258,0.3182,0.3189,0.3003,0.3043,0.2552
DLinear,ETTh2,720,0.4087,0.3873,0.3853,0.3062,0.3477,0.2978
OLS,ETTh2,720,0.4162,0.3908,0.3884,0.3177,0.3453,0.296
DLinear,ETTm1,96,0.3715,0.3497,0.3524,0.3456,0.3475,0.3293
OLS,ETTm1,96,0.371,0.3506,0.3536,0.3454,0.3475,0.3287
DLinear,ETTm1,192,0.4438,0.4166,0.4178,0.4113,0.4122,0.3564
OLS,ETTm1,192,0.4439,0.416,0.4184,0.4115,0.4119,0.3562
DLinear,ETTm1,336,0.5183,0.4799,0.4803,0.4753,0.4858,0.4137
OLS,ETTm1,336,0.5182,0.4787,0.4792,0.4748,0.4749,0.4133
DLinear,ETTm1,720,0.5929,0.5488,0.5532,0.4774,0.4991,0.4848
OLS,ETTm1,720,0.5922,0.5478,0.5522,0.4763,0.5007,0.4844
DLinear,ETTm2,96,0.1598,0.1584,0.1584,0.1583,0.1586,0.1322
OLS,ETTm2,96,0.1602,0.159,0.1589,0.1582,0.1586,0.1325
DLinear,ETTm2,192,0.193,0.1913,0.1913,0.1904,0.1905,0.1546
OLS,ETTm2,192,0.1936,0.1921,0.1919,0.1906,0.1907,0.1547
DLinear,ETTm2,336,0.2324,0.2289,0.2292,0.2083,0.2242,0.1835
OLS,ETTm2,336,0.2331,0.2299,0.2302,0.2131,0.2226,0.1837
DLinear,ETTm2,720,0.3062,0.2968,0.2963,0.2215,0.2316,0.2285
OLS,ETTm2,720,0.3066,0.2986,0.2971,0.2171,0.2349,0.2279
DLinear,Exchange,96,0.0913,0.0885,0.0878,0.0812,0.0834,0.0475
OLS,Exchange,96,0.0814,0.0792,0.0798,0.0756,0.0773,0.0431
DLinear,Exchange,192,0.1827,0.176,0.173,0.1459,0.1519,0.0892
OLS,Exchange,192,0.1727,0.1658,0.1653,0.1393,0.1457,0.0835
DLinear,Exchange,336,0.3277,0.2941,0.292,0.2039,0.248,0.1559
OLS,Exchange,336,0.3226,0.2877,0.2898,0.202,0.2323,0.1483
DLinear,Exchange,720,0.8873,0.8762,0.8781,0.3494,0.4481,0.3939
OLS,Exchange,720,0.8366,0.8138,0.8149,0.3444,0.4541,0.3799
DLinear,Weather,96,0.1954,0.1796,0.1823,0.1773,0.1793,0.1491
OLS,Weather,96,0.1957,0.1807,0.1795,0.1772,0.1803,0.1489
DLinear,Weather,192,0.2403,0.2244,0.2254,0.2216,0.2217,0.1876
OLS,Weather,192,0.2404,0.2244,0.2274,0.2223,0.2237,0.1874
DLinear,Weather,336,0.2918,0.2709,0.274,0.2567,0.2626,0.2171
